name,category,subcategory,text_to_embed
Hafnium,Metal,Refractory,Material Name: Hafnium. Category: Metal. Subcategory: Refractory. Formula: Hf. Density: 13.31 g/cm3. Melting Point: 2506.0 °C. Boiling Point: 4876.0. Thermal Conductivity: 23.0 W/m·K. Specific Heat: 144.0. Thermal Expansion: 5.9. Electrical Resistivity: 3.31e-07. Tensile Strength: 485.0 MPa. Youngs Modulus: 141.0 GPa. Poissons Ratio: 0.37.
Zirconium,Metal,Refractory,Material Name: Zirconium. Category: Metal. Subcategory: Refractory. Formula: Zr. Density: 6.51 g/cm3. Melting Point: 2128.0 °C. Boiling Point: 4682.0. Thermal Conductivity: 22.7 W/m·K. Specific Heat: 278.0. Thermal Expansion: 5.7. Electrical Resistivity: 4.21e-07. Yield Strength: 45.0 MPa. Tensile Strength: 170.0 MPa. Youngs Modulus: 88.0 GPa. Poissons Ratio: 0.34.
Steel AISI 1020,Metal,Ferrous,Material Name: Steel AISI 1020. Category: Metal. Subcategory: Ferrous. Formula: Fe-C. Density: 7.85 g/cm3. Melting Point: 1773.0 °C. Thermal Conductivity: 51.0 W/m·K. Specific Heat: 486.0. Thermal Expansion: 12.0. Electrical Resistivity: 1.6e-07. Yield Strength: 380.0 MPa. Tensile Strength: 470.0 MPa. Youngs Modulus: 200.0 GPa. Hardness Vickers: 130.0. Poissons Ratio: 0.29.
Steel AISI 4340,Metal,Ferrous,Material Name: Steel AISI 4340. Category: Metal. Subcategory: Ferrous. Formula: Fe-Ni-Cr-Mo. Density: 7.85 g/cm3. Melting Point: 1705.0 °C. Thermal Conductivity: 44.0 W/m·K. Specific Heat: 475.0. Thermal Expansion: 12.3. Electrical Resistivity: 2.48e-07. Yield Strength: 793.0 MPa. Tensile Strength: 1000.0 MPa. Youngs Modulus: 205.0 GPa. Hardness Vickers: 300.0. Poissons Ratio: 0.29.
Stainless Steel 304,Metal,Ferrous,Material Name: Stainless Steel 304. Category: Metal. Subcategory: Ferrous. Formula: Fe-Cr-Ni. Density: 8.0 g/cm3. Melting Point: 1673.0 °C. Thermal Conductivity: 16.0 W/m·K. Specific Heat: 500.0. Thermal Expansion: 17.2. Electrical Resistivity: 7.2e-07. Yield Strength: 215.0 MPa. Tensile Strength: 505.0 MPa. Youngs Modulus: 193.0 GPa. Hardness Vickers: 129.0. Poissons Ratio: 0.29. Processing Temp Min C: 600.0. Processing Temp Max C: 800.0. Fracture Toughness: 50.0.
Stainless Steel 316,Metal,Ferrous,Material Name: Stainless Steel 316. Category: Metal. Subcategory: Ferrous. Formula: Fe-Cr-Ni-Mo. Density: 8.0 g/cm3. Melting Point: 1648.0 °C. Thermal Conductivity: 16.0 W/m·K. Specific Heat: 500.0. Thermal Expansion: 16.0. Electrical Resistivity: 7.4e-07. Yield Strength: 290.0 MPa. Tensile Strength: 580.0 MPa. Youngs Modulus: 193.0 GPa. Hardness Vickers: 170.0. Poissons Ratio: 0.27.
Stainless Steel 316L,Metal,Ferrous,Material Name: Stainless Steel 316L. Category: Metal. Subcategory: Ferrous. Formula: Fe-Cr-Ni-Mo-C. Density: 8.0 g/cm3. Melting Point: 1648.0 °C. Thermal Conductivity: 16.0 W/m·K. Specific Heat: 500.0. Thermal Expansion: 16.0. Electrical Resistivity: 7.4e-07. Yield Strength: 170.0 MPa. Tensile Strength: 485.0 MPa. Youngs Modulus: 193.0 GPa. Hardness Vickers: 150.0. Poissons Ratio: 0.27.
Duplex Steel 2205,Metal,Ferrous,Material Name: Duplex Steel 2205. Category: Metal. Subcategory: Ferrous. Formula: Fe-Cr-Ni-Mo-N. Density: 7.78 g/cm3. Melting Point: 1475.0 °C. Thermal Conductivity: 19.0 W/m·K. Specific Heat: 500.0. Thermal Expansion: 13.7. Electrical Resistivity: 8.5e-07. Yield Strength: 450.0 MPa. Tensile Strength: 620.0 MPa. Youngs Modulus: 200.0 GPa. Hardness Vickers: 290.0. Poissons Ratio: 0.3.
Brass 70Cu-30Zn,Metal,Non-Ferrous,Material Name: Brass 70Cu-30Zn. Category: Metal. Subcategory: Non-Ferrous. Formula: Cu-Zn. Density: 8.53 g/cm3. Melting Point: 1178.0 °C. Thermal Conductivity: 120.0 W/m·K. Specific Heat: 380.0. Thermal Expansion: 19.9. Electrical Resistivity: 6.2e-08. Yield Strength: 200.0 MPa. Tensile Strength: 500.0 MPa. Youngs Modulus: 105.0 GPa. Hardness Vickers: 160.0. Poissons Ratio: 0.34. Processing Temp Min C: 450.0. Processing Temp Max C: 550.0. Fracture Toughness: 25.0.
Bronze 90Cu-10Sn,Metal,Non-Ferrous,Material Name: Bronze 90Cu-10Sn. Category: Metal. Subcategory: Non-Ferrous. Formula: Cu-Sn. Density: 8.78 g/cm3. Melting Point: 1223.0 °C. Thermal Conductivity: 50.0 W/m·K. Specific Heat: 380.0. Thermal Expansion: 18.0. Electrical Resistivity: 1.3e-07. Yield Strength: 195.0 MPa. Tensile Strength: 350.0 MPa. Youngs Modulus: 110.0 GPa. Hardness Vickers: 100.0. Poissons Ratio: 0.34.
Cupronickel 90-10,Metal,Non-Ferrous,Material Name: Cupronickel 90-10. Category: Metal. Subcategory: Non-Ferrous. Formula: Cu-Ni. Density: 8.9 g/cm3. Melting Point: 1468.0 °C. Thermal Conductivity: 45.0 W/m·K. Specific Heat: 377.0. Thermal Expansion: 17.1. Electrical Resistivity: 1.9e-07. Yield Strength: 105.0 MPa. Tensile Strength: 300.0 MPa. Youngs Modulus: 150.0 GPa. Hardness Vickers: 80.0. Poissons Ratio: 0.35.
Aluminum 6061-T6,Metal,Non-Ferrous,Material Name: Aluminum 6061-T6. Category: Metal. Subcategory: Non-Ferrous. Formula: Al-Mg-Si. Density: 2.7 g/cm3. Melting Point: 855.0 °C. Thermal Conductivity: 167.0 W/m·K. Specific Heat: 896.0. Thermal Expansion: 23.6. Electrical Resistivity: 3.99e-08. Yield Strength: 276.0 MPa. Tensile Strength: 310.0 MPa. Youngs Modulus: 69.0 GPa. Hardness Vickers: 107.0. Poissons Ratio: 0.33.
Aluminum 7075-T6,Metal,Non-Ferrous,Material Name: Aluminum 7075-T6. Category: Metal. Subcategory: Non-Ferrous. Formula: Al-Zn-Mg-Cu. Density: 2.81 g/cm3. Melting Point: 750.0 °C. Thermal Conductivity: 130.0 W/m·K. Specific Heat: 960.0. Thermal Expansion: 23.4. Electrical Resistivity: 5.15e-08. Yield Strength: 503.0 MPa. Tensile Strength: 572.0 MPa. Youngs Modulus: 72.0 GPa. Hardness Vickers: 175.0. Poissons Ratio: 0.33.
Aluminum 2024-T3,Metal,Non-Ferrous,Material Name: Aluminum 2024-T3. Category: Metal. Subcategory: Non-Ferrous. Formula: Al-Cu-Mg. Density: 2.78 g/cm3. Melting Point: 911.0 °C. Thermal Conductivity: 121.0 W/m·K. Specific Heat: 875.0. Thermal Expansion: 23.2. Electrical Resistivity: 5.82e-08. Yield Strength: 345.0 MPa. Tensile Strength: 483.0 MPa. Youngs Modulus: 73.0 GPa. Hardness Vickers: 130.0. Poissons Ratio: 0.33.
Ti-6Al-4V (Grade 5),Metal,Non-Ferrous,Material Name: Ti-6Al-4V (Grade 5). Category: Metal. Subcategory: Non-Ferrous. Formula: Ti-Al-V. Density: 4.43 g/cm3. Melting Point: 1877.0 °C. Thermal Conductivity: 6.7 W/m·K. Specific Heat: 560.0. Thermal Expansion: 8.6. Electrical Resistivity: 1.71e-06. Yield Strength: 880.0 MPa. Tensile Strength: 950.0 MPa. Youngs Modulus: 114.0 GPa. Hardness Vickers: 349.0. Poissons Ratio: 0.34. Processing Temp Min C: 800.0. Processing Temp Max C: 1050.0. Fracture Toughness: 6.0.
Inconel 718,Metal,Superalloy,Material Name: Inconel 718. Category: Metal. Subcategory: Superalloy. Formula: Ni-Cr-Fe-Nb. Density: 8.19 g/cm3. Melting Point: 1609.0 °C. Thermal Conductivity: 11.2 W/m·K. Specific Heat: 435.0. Thermal Expansion: 13.0. Electrical Resistivity: 1.25e-06. Yield Strength: 1034.0 MPa. Tensile Strength: 1241.0 MPa. Youngs Modulus: 200.0 GPa. Hardness Vickers: 350.0. Poissons Ratio: 0.29.
Inconel 625,Metal,Superalloy,Material Name: Inconel 625. Category: Metal. Subcategory: Superalloy. Formula: Ni-Cr-Mo-Nb. Density: 8.44 g/cm3. Melting Point: 1623.0 °C. Thermal Conductivity: 9.8 W/m·K. Specific Heat: 410.0. Thermal Expansion: 12.8. Electrical Resistivity: 1.29e-06. Yield Strength: 415.0 MPa. Tensile Strength: 930.0 MPa. Youngs Modulus: 207.0 GPa. Hardness Vickers: 200.0. Poissons Ratio: 0.28. Processing Temp Min C: 1100.0. Processing Temp Max C: 1250.0. Fracture Toughness: 180.0.
Hastelloy C-276,Metal,Superalloy,Material Name: Hastelloy C-276. Category: Metal. Subcategory: Superalloy. Formula: Ni-Mo-Cr. Density: 8.89 g/cm3. Melting Point: 1598.0 °C. Thermal Conductivity: 10.2 W/m·K. Specific Heat: 427.0. Thermal Expansion: 11.2. Electrical Resistivity: 1.25e-06. Yield Strength: 414.0 MPa. Tensile Strength: 790.0 MPa. Youngs Modulus: 205.0 GPa. Hardness Vickers: 210.0. Poissons Ratio: 0.3. Processing Temp Min C: 1150.0. Processing Temp Max C: 1300.0. Fracture Toughness: 200.0.
Monel 400,Metal,Non-Ferrous,Material Name: Monel 400. Category: Metal. Subcategory: Non-Ferrous. Formula: Ni-Cu. Density: 8.8 g/cm3. Melting Point: 1573.0 °C. Thermal Conductivity: 21.8 W/m·K. Specific Heat: 427.0. Thermal Expansion: 13.9. Electrical Resistivity: 5.47e-07. Yield Strength: 240.0 MPa. Tensile Strength: 550.0 MPa. Youngs Modulus: 179.0 GPa. Hardness Vickers: 130.0. Poissons Ratio: 0.32.
Nitinol NiTi,Metal,Shape-Memory,Material Name: Nitinol NiTi. Category: Metal. Subcategory: Shape-Memory. Formula: Ni-Ti. Density: 6.45 g/cm3. Melting Point: 1583.0 °C. Thermal Conductivity: 8.6 W/m·K. Specific Heat: 490.0. Thermal Expansion: 11.0. Electrical Resistivity: 8.2e-07. Yield Strength: 195.0 MPa. Tensile Strength: 895.0 MPa. Youngs Modulus: 75.0 GPa. Hardness Vickers: 250.0. Poissons Ratio: 0.33.
Solder 60Sn-40Pb,Metal,Non-Ferrous,Material Name: Solder 60Sn-40Pb. Category: Metal. Subcategory: Non-Ferrous. Formula: Sn-Pb. Density: 8.52 g/cm3. Melting Point: 456.0 °C. Thermal Conductivity: 50.0 W/m·K. Specific Heat: 168.0. Thermal Expansion: 24.0. Electrical Resistivity: 1.5e-07. Tensile Strength: 60.0 MPa. Youngs Modulus: 32.0 GPa. Hardness Vickers: 14.0. Poissons Ratio: 0.4.
Cast Iron (Gray),Metal,Ferrous,Material Name: Cast Iron (Gray). Category: Metal. Subcategory: Ferrous. Formula: Fe-C-Si. Density: 7.15 g/cm3. Melting Point: 1423.0 °C. Thermal Conductivity: 51.0 W/m·K. Specific Heat: 490.0. Thermal Expansion: 10.8. Electrical Resistivity: 1e-06. Tensile Strength: 250.0 MPa. Youngs Modulus: 100.0 GPa. Hardness Vickers: 200.0. Poissons Ratio: 0.26. Processing Temp Min C: 700.0. Processing Temp Max C: 900.0. Fracture Toughness: 4.0.
Maraging Steel 300,Metal,Ferrous,Material Name: Maraging Steel 300. Category: Metal. Subcategory: Ferrous. Formula: Fe-Ni-Co-Mo. Density: 8.0 g/cm3. Melting Point: 1723.0 °C. Thermal Conductivity: 25.0 W/m·K. Specific Heat: 460.0. Thermal Expansion: 10.4. Electrical Resistivity: 6e-07. Yield Strength: 1900.0 MPa. Tensile Strength: 1965.0 MPa. Youngs Modulus: 190.0 GPa. Hardness Vickers: 600.0. Poissons Ratio: 0.3.
Alumina Al2O3 99%,Ceramic,Oxide,Material Name: Alumina Al2O3 99%. Category: Ceramic. Subcategory: Oxide. Formula: Al2O3. Density: 3.95 g/cm3. Melting Point: 2345.0 °C. Boiling Point: 3250.0. Thermal Conductivity: 30.0 W/m·K. Specific Heat: 880.0. Thermal Expansion: 8.1. Electrical Resistivity: 10000000000.0. Tensile Strength: 260.0 MPa. Youngs Modulus: 370.0 GPa. Hardness Vickers: 1500.0. Poissons Ratio: 0.22. Processing Temp Min C: 1500.0. Processing Temp Max C: 1750.0. Crystallinity: 100.0. Fracture Toughness: 6.0.
Silicon Carbide SiC,Ceramic,Carbide,Material Name: Silicon Carbide SiC. Category: Ceramic. Subcategory: Carbide. Formula: SiC. Density: 3.21 g/cm3. Melting Point: 3003.0 °C. Thermal Conductivity: 120.0 W/m·K. Specific Heat: 750.0. Thermal Expansion: 4.0. Electrical Resistivity: 10000.0. Tensile Strength: 400.0 MPa. Youngs Modulus: 410.0 GPa. Hardness Vickers: 2800.0. Poissons Ratio: 0.16. Processing Temp Min C: 1600.0. Processing Temp Max C: 1850.0. Crystallinity: 100.0. Fracture Toughness: 3.5.
Silicon Nitride Si3N4,Ceramic,Nitride,Material Name: Silicon Nitride Si3N4. Category: Ceramic. Subcategory: Nitride. Formula: Si3N4. Density: 3.19 g/cm3. Melting Point: 2173.0 °C. Thermal Conductivity: 25.0 W/m·K. Specific Heat: 700.0. Thermal Expansion: 3.2. Electrical Resistivity: 1000000000000.0. Tensile Strength: 600.0 MPa. Youngs Modulus: 300.0 GPa. Hardness Vickers: 1700.0. Poissons Ratio: 0.27. Processing Temp Min C: 1500.0. Processing Temp Max C: 1700.0. Crystallinity: 100.0. Fracture Toughness: 5.0.
Zirconia ZrO2 (Stabilized),Ceramic,Oxide,Material Name: Zirconia ZrO2 (Stabilized). Category: Ceramic. Subcategory: Oxide. Formula: ZrO2. Density: 6.05 g/cm3. Melting Point: 2988.0 °C. Thermal Conductivity: 2.0 W/m·K. Specific Heat: 400.0. Thermal Expansion: 10.5. Electrical Resistivity: 1000000000000.0. Tensile Strength: 800.0 MPa. Youngs Modulus: 210.0 GPa. Hardness Vickers: 1200.0. Poissons Ratio: 0.31. Processing Temp Min C: 1400.0. Processing Temp Max C: 1600.0. Crystallinity: 95.0. Fracture Toughness: 600.0.
Boron Carbide B4C,Ceramic,Carbide,Material Name: Boron Carbide B4C. Category: Ceramic. Subcategory: Carbide. Formula: B4C. Density: 2.52 g/cm3. Melting Point: 2763.0 °C. Thermal Conductivity: 30.0 W/m·K. Specific Heat: 950.0. Thermal Expansion: 5.0. Electrical Resistivity: 0.3. Tensile Strength: 350.0 MPa. Youngs Modulus: 450.0 GPa. Hardness Vickers: 3000.0. Poissons Ratio: 0.17. Processing Temp Min C: 1500.0. Processing Temp Max C: 1700.0. Crystallinity: 100.0. Fracture Toughness: 3.0.
Magnesia MgO,Ceramic,Oxide,Material Name: Magnesia MgO. Category: Ceramic. Subcategory: Oxide. Formula: MgO. Density: 3.58 g/cm3. Melting Point: 3098.0 °C. Boiling Point: 3873.0. Thermal Conductivity: 48.0 W/m·K. Specific Heat: 877.0. Thermal Expansion: 13.5. Electrical Resistivity: 10000000000000.0. Tensile Strength: 100.0 MPa. Youngs Modulus: 248.0 GPa. Hardness Vickers: 750.0. Poissons Ratio: 0.18.
Tungsten Carbide WC,Ceramic,Carbide,Material Name: Tungsten Carbide WC. Category: Ceramic. Subcategory: Carbide. Formula: WC. Density: 15.63 g/cm3. Melting Point: 3058.0 °C. Thermal Conductivity: 110.0 W/m·K. Specific Heat: 203.0. Thermal Expansion: 5.5. Electrical Resistivity: 2e-07. Tensile Strength: 1700.0 MPa. Youngs Modulus: 696.0 GPa. Hardness Vickers: 2400.0. Poissons Ratio: 0.24.
Aluminium Nitride AlN,Ceramic,Nitride,Material Name: Aluminium Nitride AlN. Category: Ceramic. Subcategory: Nitride. Formula: AlN. Density: 3.26 g/cm3. Melting Point: 2473.0 °C. Thermal Conductivity: 170.0 W/m·K. Specific Heat: 780.0. Thermal Expansion: 4.6. Electrical Resistivity: 100000000000.0. Tensile Strength: 300.0 MPa. Youngs Modulus: 320.0 GPa. Hardness Vickers: 1200.0. Poissons Ratio: 0.24.
Titanium Nitride TiN,Ceramic,Nitride,Material Name: Titanium Nitride TiN. Category: Ceramic. Subcategory: Nitride. Formula: TiN. Density: 5.22 g/cm3. Melting Point: 3220.0 °C. Thermal Conductivity: 19.0 W/m·K. Specific Heat: 616.0. Thermal Expansion: 9.4. Electrical Resistivity: 2.5e-07. Youngs Modulus: 600.0 GPa. Hardness Vickers: 2100.0. Poissons Ratio: 0.25.
